B,I,T,P,O,D
FTC FASHIONS,Girls Mini/Short Festive/Wedding Dress,"Blue, 3/4 Sleeve",₹189,₹999,81% off,/ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFZ5BCBZJMGK7E.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Fillory,"Women, Girls Tube Lightly Padded Bra",Black,₹165,₹699,76% off,/fillory-womens-tube-bra-floral-design-extra-transparent-straps-30-34-size-use-fancy-women-girls-lightly-padded/p/itm0cbcbc61be055?pid=BRAFGPRXE2HTAST2&lid=LSTBRAFGPRXE2HTAST2KUSPR6&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFGPRXE2HTAST2.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Maxi/Full Length Party Dress,"Red, Full Sleeve",₹179,₹999,82% off,/ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFZD5FRHUYPGGH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
CUTIEKINS,Girls Casual Top Trouser,Maroon,₹704,"₹1,699",58% off,/cutiekins-girls-casual-top-trouser/p/itme8bad1216d3e7?pid=KPBFXZK2XK2YX8BV&lid=LSTKPBFXZK2XK2YX8BVSYS44D&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO2BenXWrybqKr2YDGgrUQ6bQI8fg8uR2OgJzUAKbhYQZg%3D%3D&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Midi/Knee Length Party Dress,"Black, 3/4 Sleeve",₹199,₹999,80% off,/ftc-fashions-girls-midi-knee-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDH65GCFWH&lid=LSTKDEFB5CDH65GCFWHDXEOVD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFB5CDH65GCFWH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Manzon,Track Pant For Boys & Girls,"Multicolor, Pack of 6",₹242,"₹1,099",77% off,/manzon-track-pant-boys-girls/p/itmffh2jyu7ytqpn?pid=KTKFFKTGAKHG8BHA&lid=LSTKTKFFKTGAKHG8BHASSOBB5&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KTKFFKTGAKHG8BHA.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Party(Festive) Dress Cap,Grey,₹189,₹999,81% off,/ftc-fashions-girls-party-festive-dress-cap/p/itm64fdb81c38d70?pid=KPBFEZ2HCVE6DJDV&lid=LSTKPBFEZ2HCVE6DJDVEUENAD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KPBFEZ2HCVE6DJDV.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FnS,"Women, Girls Bralette Lightly Padded Bra","Light Blue, Red, White, Black",₹270,₹999,72% off,/fns-women-girls-bralette-lightly-padded-bra/p/itm90c042451900e?pid=BRAFVCAM25DNQKAH&lid=LSTBRAFVCAM25DNQKAHWXVFOR&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFVCAM25DNQKAH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,MY BABY TOWN Baby Boys & Baby Girls Black Sleepsuit,"Light Blue, Pack of 1",₹590,"₹1,299",54% off,/my-baby-town-boys-girls-black-sleepsuit/p/itm6005038018909?pid=BOLFZDGZKVVR7ECZ&lid=LSTBOLFZDGZKVVR7ECZWB6QIX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BOLFZDGZKVVR7ECZ.SEARCH&ssid=gf2d8eo6nk0000001609472004939
BRATON,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Multicolor,₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm735b3573d23a6?pid=KLCFVG2P8QC2Y7H7&lid=LSTKLCFVG2P8QC2Y7H7HQVHIH&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFVG2P8QC2Y7H7.SEARCH&ssid=gf2d8eo6nk0000001609472004939
harrica,"Girls, Women Tube Lightly Padded Bra",Unstitched,₹322,₹999,67% off,/braton-girls-women-tube-lightly-padded-bra/p/itme73c9c0313596?pid=BRAFUPVCGTP9TT4G&lid=LSTBRAFUPVCGTP9TT4GUBDVIF&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFUPVCGTP9TT4G.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,Rayon Printed Shirt Fabric,"Light Blue, Pack of 1",₹454,₹999,54% off,/harrica-rayon-printed-shirt-fabric/p/itm3e122fcd74627?pid=FABFWYHGCRYQS4N6&lid=LSTFABFWYHGCRYQS4N6LHBMSS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.FABFWYHGCRYQS4N6.SEARCH&ssid=gf2d8eo6nk0000001609472004939
CUTIEKINS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Pink,₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm18914fff9d437?pid=KLCFVG2PUVWZWMZZ&lid=LSTKLCFVG2PUVWZWMZZOQ6OOB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFVG2PUVWZWMZZ.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,Girls Party(Festive) Top Trouser,"Blue, Pack of 1",₹688,"₹1,299",47% off,/cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO1pYRbk4xfNei7mid3cEJM5N5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Black, 3/4 Sleeve",₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm08797722bfa37?pid=KLCFPCK24GHQYGHN&lid=LSTKLCFPCK24GHQYGHNTUWVHA&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFPCK24GHQYGHN.SEARCH&ssid=gf2d8eo6nk0000001609472004939
JARS Collections,Girls Maxi/Full Length Casual Dress,Pack of 4,₹188,₹899,79% off,/ftc-fashions-girls-maxi-full-length-casual-dress/p/itm0b15aca691c10?pid=KDEFVRKGY2G4ZYKN&lid=LSTKDEFVRKGY2G4ZYKNHYQ2FZ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFVRKGY2G4ZYKN.SEARCH&ssid=gf2d8eo6nk0000001609472004939
KAARIGARI,Boys & Girls Graphic Print Bandana,"Black, Full Sleeve",₹162,₹899,81% off,/jars-collections-boys-girls-graphic-print-bandana/p/itmf3umwzwwsh2p7?pid=BDAFYTHFJQPZE7HR&lid=LSTBDAFYTHFJQPZE7HRJGYT2H&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BDAFYTHFJQPZE7HR.SEARCH&ssid=gf2d8eo6nk0000001609472004939
MRM CREATION,Girls Maxi/Full Length Party Dress,"Grey, Sleeveless",₹254,"₹1,199",78% off,/kaarigari-girls-maxi-full-length-party-dress/p/itmfg4yv8gg5fe5r?pid=KDEFG4RNGDUZWYW8&lid=LSTKDEFG4RNGDUZWYW8CIGUJB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFG4RNGDUZWYW8.SEARCH&ssid=gf2d8eo6nk0000001609472004939
CUTIEKINS,Girls Midi/Knee Length Party Dress,"Light Blue, Pack of 1",₹319,₹999,68% off,/mrm-creation-girls-midi-knee-length-party-dress/p/itmcf82a745223e0?pid=KDEFJC26PEDD3P2Z&lid=LSTKDEFJC26PEDD3P2ZZI3ZM3&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFJC26PEDD3P2Z.SEARCH&ssid=gf2d8eo6nk0000001609472004939
YOUR SHOPPING STORE,Girls Casual Polyester Fashion Sleeve Top,"Red, Black, Blue",₹415,₹899,53% off,/cutiekins-girls-casual-polyester-fashion-sleeve-top/p/itmb628da021abb2?pid=KTOFH7TJRGPECKJZ&lid=LSTKTOFH7TJRGPECKJZEJJLCE&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO0RM3zOsni8nPD2T%2BfFgjTHxzhx2C%2BIpmcR2mxgmnZrdA%3D%3D&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,"Women, Girls Sports Non Padded Bra","Pink, Pack of 1",₹260,₹999,73% off,/your-shopping-store-women-girls-sports-non-padded-bra/p/itm934a76d834c66?pid=BRAFXYNGZYPDZE8U&lid=LSTBRAFXYNGZYPDZE8UVXDKVS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFXYNGZYPDZE8U.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kuchipoo,"Girls Lehenga Choli Fusion Wear, Western Wear, Ethnic W...","Multicolor, Pack of 5",₹499,"₹2,999",83% off,/kedar-fab-girls-lehenga-choli-fusion-wear-western-ethnic-party-wear-embroidered-lehenga-dupatta-set/p/itm47e910ad48ec2?pid=KLCFTZ4YHBSFHN8S&lid=LSTKLCFTZ4YHBSFHN8SUBJOBZ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFTZ4YHBSFHN8S.SEARCH&ssid=gf2d8eo6nk0000001609472004939
MVD Fashion,Track Pant For Boys & Girls,Black Pack of 1,₹449,"₹1,199",62% off,/kuchipoo-track-pant-boys-girls/p/itm0ecf2ff15d800?pid=KTKFS2KVGQZ39AP5&lid=LSTKTKFS2KVGQZ39AP5MAPMCH&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KTKFS2KVGQZ39AP5.SEARCH&ssid=gf2d8eo6nk0000001609472004939
kit king,Girls Festive & Party Top and Skirt Set,Pack of 6,₹553,"₹1,999",72% off,/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO1ExDj%2FS9lrRbCkAPGxXACXN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Baby Boys & Baby Girls Ankle Length,"Red, 3/4 Sleeve",₹192,₹499,61% off,/kit-king-baby-boys-girls-ankle-length/p/itmd8b59e7effb01?pid=SOCFHTE7QKZHEEYJ&lid=LSTSOCFHTE7QKZHEEYJETWIVK&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.SOCFHTE7QKZHEEYJ.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FOXSTON,Girls Midi/Knee Length Festive/Wedding Dress,Pack of 5,₹269,₹999,73% off,/ftc-fashions-girls-midi-knee-length-festive-wedding-dress/p/itm095e758f768b5?pid=KDEFZP56ABSNPQNA&lid=LSTKDEFZP56ABSNPQNA9TSYSB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFZP56ABSNPQNA.SEARCH&ssid=gf2d8eo6nk0000001609472004939
MRM CREATION,"Girls Self Design, Solid Ankle Length",Grey,₹211,₹459,54% off,/foxston-girls-self-design-solid-ankle-length/p/itmaf43b0a594801?pid=SOCFEZMANWJNQMK4&lid=LSTSOCFEZMANWJNQMK4AX3QXC&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.SOCFEZMANWJNQMK4.SEARCH&ssid=gf2d8eo6nk0000001609472004939
HAP,Girls Barbie Party(Festive) Dress Hair Band,"Grey, Pack of 1",₹329,"₹1,299",74% off,/mrm-creation-girls-party-festive-dress-hair-band/p/itm0bc58f6e6a443?pid=KPBFJCY3JEAATBAW&lid=LSTKPBFJCY3JEAATBAWNNW87D&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KPBFJCY3JEAATBAW.SEARCH&ssid=gf2d8eo6nk0000001609472004939
WTWC FAB,Costume kids police dress for 4 to 5 years Kids Costume...,"Dark Green, Pack of 1",₹400,"₹1,000",60% off,/costume-kids-police-dress-4-5-years-wear/p/itm3242826b9edf5?pid=KCWFGH9AB3GU6BJ4&lid=LSTKCWFGH9AB3GU6BJ4165LXO&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KCWFGH9AB3GU6BJ4.SEARCH&ssid=gf2d8eo6nk0000001609472004939
DHARAMG,Top - Pyjama Set For Boys & Girls,Pack of 12,₹312,₹959,67% off,/hap-top-pyjama-set-boys-girls/p/itmexdf9ddma7hkg?pid=KTEENFCSDY7JKSZ5&lid=LSTKTEENFCSDY7JKSZ5HKSVHX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO0DT3hcSypatiqlGNBvlsToADOIWDIoSnf0zo55%2BZBS5A%3D%3D&ssid=gf2d8eo6nk0000001609472004939
Chandrika,"Girls Lehenga Choli Party Wear, Ethnic Wear, Fusion Wea...",Pink,₹550,"₹1,999",72% off,/wtwc-fab-girls-lehenga-choli-party-wear-ethnic-fusion-wear-embroidered-lehenga-dupatta-set/p/itm9478e872abb9f?pid=KLCFGABZBB5WZM27&lid=LSTKLCFGABZBB5WZM27OWRJ9W&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFGABZBB5WZM27.SEARCH&ssid=gf2d8eo6nk0000001609472004939
BabyGo,Baby Boys & Baby Girls Ankle Length,"Blue, Pack of 1",₹245,₹799,69% off,/dharamg-baby-boys-girls-ankle-length/p/itm8989657047849?pid=SOCFAHEWRDMY8XHS&lid=LSTSOCFAHEWRDMY8XHSOE3POQ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.SOCFAHEWRDMY8XHS.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Adimani,Girls Party(Festive) Skirt Top,Pack of 5,₹280,"₹1,000",72% off,/chandrika-girls-party-festive-skirt-top/p/itm2dbf2cb9f53d3?pid=KPBFWBWWBZSGZZA8&lid=LSTKPBFWBWWBZSGZZA8KL1B2L&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KPBFWBWWBZSGZZA8.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Chandrika,Romper For Baby Girls Casual Embroidered Pure Cotton,Yellow,₹543,₹799,32% off,/babygo-romper-baby-girls-casual-embroidered-pure-cotton/p/itmb16f8bb7fb570?pid=KDRFWFH3TUWGGUX6&lid=LSTKDRFWFH3TUWGGUX6WNFKAQ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO3Dfnl5m4xv3%2BnWevBfqPbGb5ZJQf%2F7N%2FSeJ8jw982L0Q%3D%3D&ssid=gf2d8eo6nk0000001609472004939
Yana,Girls Printed Low Cut,Multicolor,₹181,₹600,69% off,/adimani-girls-printed-low-cut/p/itme22aba95f9bce?pid=SOCFHDHVQY74GH8P&lid=LSTSOCFHDHVQY74GH8PPKQHKX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.SOCFHDHVQY74GH8P.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Clothes Shop,Girls Party(Festive) Skirt Top,"Green, Pack of 1",₹250,"₹1,000",75% off,/chandrika-girls-party-festive-skirt-top/p/itmfc3d0d647585c?pid=KPBFWBW7CBKZ8EWC&lid=LSTKPBFWBW7CBKZ8EWCVYWLKA&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KPBFWBW7CBKZ8EWC.SEARCH&ssid=gf2d8eo6nk0000001609472004939
NOT,"Women, Girls Sports Non Padded Bra",White,₹260,"₹1,599",83% off,/yana-women-girls-sports-non-padded-bra/p/itm1dbab0da53a87?pid=BRAFYG5HRKVKMXXA&lid=LSTBRAFYG5HRKVKMXXAJGNCVS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFYG5HRKVKMXXA.SEARCH&ssid=gf2d8eo6nk0000001609472004939
